litfsiwt1,conduct1,exponent1,litfsiwt2,conduct2,exponent2
37.41391107,6.31E-05,-4.199970641,37.41391107,6.31E-05,-4.199970641
87.76590907,1.70E-06,-5.769551079,87.76590907,1.70E-06,-5.769551079
26.39992997,1.00E-05,-5,26.39992997,1.00E-05,-5
54.45535616,2.00E-09,-8.698970004,54.45535616,2.00E-09,-8.698970004
12.54748897,3.98E-08,-7.400116928,12.54748897,3.98E-08,-7.400116928
12.54748897,2.51E-08,-7.600326279,12.54748897,2.51E-08,-7.600326279
60,8.51E-06,-5.07007044,60,8.51E-06,-5.07007044
10,3.28E-06,-5.484126156,10,3.28E-06,-5.484126156
30,8.83E-05,-4.054039296,30,8.83E-05,-4.054039296
50,4.28E-04,-3.368556231,50,4.28E-04,-3.368556231
70,1.11E-04,-3.954677021,70,1.11E-04,-3.954677021
90,5.74E-04,-3.241088108,90,5.74E-04,-3.241088108
15,9.40E-08,-7.026872146,37.41391107,3.98E-05,-4.400116928
15,1.06E-08,-7.974694135,87.76590907,6.76E-06,-5.170053304
15,1.07E-07,-6.970616222,54.45535616,7.94E-10,-9.100179498
25,7.43E-07,-6.129011186,54.45535616,3.98E-10,-9.400116928
25,6.41E-07,-6.19314197,12.54748897,5.01E-08,-7.300162274
25,9.23E-07,-6.034798299,12.54748897,3.98E-08,-7.400116928
35,4.83E-06,-5.316052869,12.54748897,2.00E-08,-7.698970004
35,7.31E-06,-5.136082623,40,8.51E-06,-5.07007044
35,2.87E-06,-5.542118103,40,4.27E-06,-5.369572125
37.41391107,3.98E-05,-4.400116928,,,
87.76590907,6.76E-06,-5.170053304,,,
54.45535616,7.94E-10,-9.100179498,,,
54.45535616,3.98E-10,-9.400116928,,,
12.54748897,5.01E-08,-7.300162274,,,
12.54748897,3.98E-08,-7.400116928,,,
12.54748897,2.00E-08,-7.698970004,,,
40,8.51E-06,-5.07007044,,,
40,4.27E-06,-5.369572125,,,
15,4.29E-08,-7.367542708,,,
15,4.56E-08,-7.341035157,,,
15,5.04E-08,-7.297569464,,,
25,4.74E-07,-6.324221658,,,
25,4.69E-07,-6.328827157,,,
25,4.14E-07,-6.382999659,,,
35,2.86E-06,-5.543633967,,,
35,2.49E-06,-5.603800653,,,
35,1.50E-06,-5.823908741,,,
45,1.83E-06,-5.73754891,,,
45,2.05E-06,-5.688246139,,,
45,2.34E-06,-5.630784143,,,
55,2.23E-06,-5.651695137,,,
55,1.73E-06,-5.761953897,,,
55,1.42E-06,-5.847711656,,,
65,6.94E-07,-6.15864053,,,
65,8.10E-07,-6.091514981,,,
65,1.16E-06,-5.935542011,,,
45,4.32E-06,-5.364516253,,,
45,3.17E-06,-5.498940738,,,
45,4.01E-06,-5.396855627,,,
55,3.55E-06,-5.449771647,,,
55,3.77E-06,-5.42365865,,,
55,2.34E-06,-5.630784143,,,
65,1.23E-06,-5.910094889,,,
65,1.88E-06,-5.725842151,,,
65,2.89E-06,-5.539102157,,,
